[08/07/2021 - 16:44:32] - SMS: QUER DROGA SE QUISER VEM PISTA, enviou: RAPOZA_BB - CEL:[4062]
[09/07/2021 - 20:45:20] - SMS: opa ta presizando de soldado , enviou: DaNike.PvP - CEL:[8105]
[10/07/2021 - 03:16:15] - SMS: ;-;, enviou: Rei_Do_Rolas - CEL:[7417]
[10/07/2021 - 15:20:08] - SMS: me seta ae 6eis capa na voz ;-;, enviou: Rei_Do_Rolas - CEL:[7417]
[10/07/2021 - 16:52:18] - SMS: ME CHAMA PRA ORG 6EIS CAPA AQUI, enviou: Rei_Do_Rolas - CEL:[7417]
[10/07/2021 - 18:07:05] - SMS: opa, enviou: RAPOZA_BB - CEL:[4062]
[11/07/2021 - 01:15:07] - SMS: limpa ficha?, enviou: Lucas_pinto - CEL:[9920]
[11/07/2021 - 02:34:20] - SMS: /ANIMLIST, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 03:27:35] - SMS: VEDEM OQUE AE?, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 03:28:50] - SMS: QUANDO QUE TA 500 PEDRA?, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 03:29:12] - SMS: DE CRACK, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 12:12:06] - SMS: bom diaa vida, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 12:19:00] - SMS: AOBA, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 12:20:04] - SMS: opa, enviou: Gust4_FPSx - CEL:[1381]
[11/07/2021 - 13:19:28] - SMS: OUU VC E DOR EXERCITO?, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 13:19:57] - SMS: eu nao sei o low mw convdou, enviou: Gust4_FPSx - CEL:[1381]
[11/07/2021 - 13:20:03] - SMS: eu nao sei o low mw convidou, enviou: Gust4_FPSx - CEL:[1381]
[11/07/2021 - 13:22:45] - SMS: QUER QUANTO PRA LIMPAR MINHA FICHA?, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 15:48:46] - SMS: VAGA AE MAN?, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 15:49:08] - SMS: POSITIVO, enviou: WL_[CHEFE_TDJ] - CEL:[5835]
[11/07/2021 - 15:50:29] - SMS: POSITIVO, enviou: WL_[CHEFE_TDJ] - CEL:[5835]
[11/07/2021 - 20:32:36] - SMS: ;-;, enviou: Rei_Do_Rolas - CEL:[7417]
[11/07/2021 - 20:32:50] - SMS: vem aqui na hq da groove rapido, enviou: TZ_SAMP - CEL:[6676]
[11/07/2021 - 20:33:57] - SMS: vai hq da pcc , enviou: TZ_SAMP - CEL:[6676]
[12/07/2021 - 14:51:43] - SMS: opa mano , enviou: Miguel_Donquixote - CEL:[35845]
[12/07/2021 - 16:00:22] - SMS: aoba quanto ta 500 lsd?, enviou: Rei_Do_Rolas - CEL:[7417]
[12/07/2021 - 16:00:57] - SMS: 65k mn, enviou: TZ_SAMP - CEL:[6676]
[12/07/2021 - 16:01:16] - SMS: onde e a biqueira?, enviou: Rei_Do_Rolas - CEL:[7417]
[12/07/2021 - 16:01:25] - SMS: pista de sket, enviou: TZ_SAMP - CEL:[6676]
[12/07/2021 - 16:01:41] - SMS: indo buscar, enviou: Rei_Do_Rolas - CEL:[7417]
[12/07/2021 - 16:01:50] - SMS: dmr, enviou: TZ_SAMP - CEL:[6676]
[12/07/2021 - 16:12:40] - SMS: vem e mata ele, enviou: Rei_Do_Rolas - CEL:[7417]
[12/07/2021 - 16:13:16] - SMS: ele me deu um tiro e nem foi capa, enviou: TZ_SAMP - CEL:[6676]
[12/07/2021 - 16:13:55] - SMS: vem dnv espera ele ficar parad, enviou: Rei_Do_Rolas - CEL:[7417]
[12/07/2021 - 16:14:11] - SMS: to aqui, enviou: TZ_SAMP - CEL:[6676]
[12/07/2021 - 16:14:29] - SMS: vai ele ta parado, enviou: Rei_Do_Rolas - CEL:[7417]
[12/07/2021 - 16:15:14] - SMS: to viu ne, enviou: TZ_SAMP - CEL:[6676]
[13/07/2021 - 00:47:38] - SMS: eai irmao, enviou: Markola - CEL:[1976]
[13/07/2021 - 00:48:31] - SMS: eai , enviou: Markola - CEL:[1976]
