[11/7/2021] [0:13:47] BLUEZAO_FEDOR IP:168.181.5.71 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] BLUEZAO_FEDOR IP:168.181.5.71 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] BLUEZAO_FEDOR IP:168.181.5.71 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] edu_play IP:45.161.84.0 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] TEXUGO_ IP:45.230.79.238 foi banido pelo admin Automático, motivo: Xiter Velocidade
[11/7/2021] [0:13:47] exe_sad IP:162.250.2.101 foi banido pelo admin Automático, motivo: Xiter JetPack
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Yakame_FPSx IP:138.0.234.246 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] JULIA_MINEGIRL IP:168.181.6.52 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Ssueco.FPSx IP:170.84.87.89 foi banido pelo admin Automático, motivo: Car Spam
[11/7/2021] [0:13:47] Wendell_Fnk IP:177.37.87.105 foi banido pelo admin Automático, motivo: Xiter JetPack
[12/7/2021] [5:42:57] HOMEN_BESOURO IP:168.181.7.29 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [5:42:57] gada_ff IP:186.194.146.138 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] Mudinho_FPSx IP:186.233.19.18 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] SAD_TRISTE1 IP:138.185.16.104 foi banido pelo admin Vgzinn, motivo: KKKKKKKKKK
[12/7/2021] [23:26:12] comedor_17 IP:138.118.59.168 foi banido pelo admin Automático, motivo: Xiter Velocidade
[12/7/2021] [23:26:12] paulinho_Vida IP:177.71.45.181 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] paulinho_Vida IP:177.71.45.181 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] paulinho_Vida IP:177.71.45.181 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] paulinho_Vida IP:177.71.45.181 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] paulinho_Vida IP:177.71.45.181 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] paulinho_Vida IP:177.71.45.181 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Xiter Velocidade
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Car Spam
[12/7/2021] [23:26:12] denver_Loko IP:212.103.61.98 foi banido pelo admin Automático, motivo: Car Spam
[13/7/2021] [4:50:12] NHX_SHELBY IP:138.204.25.174 foi banido pelo admin Automático, motivo: Xiter Velocidade
[13/7/2021] [4:50:12] Sagaz_Fpss IP:179.70.146.65 foi banido pelo admin Vgzinn, motivo: NUNCA NEM VI
[13/7/2021] [4:50:12] NupoeTrH_ IP:170.246.167.130 foi banido pelo admin Vgzinn, motivo: kk
[13/7/2021] [4:50:12] Suzy_Trem IP:177.39.123.240 foi banido pelo admin Vgzinn, motivo: kk
[14/7/2021] [2:53:22] FALIDIN_FPS IP:191.243.132.36 foi banido pelo admin Vgzinn, motivo: serve merda q vc esta nu e?
[14/7/2021] [2:53:22] Eduzin_FPSx IP:189.15.164.16 foi banido pelo admin Automático, motivo: Xiter JetPack
[14/7/2021] [2:53:22] Mexicano_Xd IP:190.89.72.162 foi banido pelo admin Automático, motivo: Car Spam
[14/7/2021] [2:53:22] Mexicano_Xd IP:190.89.72.162 foi banido pelo admin Automático, motivo: Car Spam
[14/7/2021] [2:53:22] Mexicano_Xd IP:190.89.72.162 foi banido pelo admin Automático, motivo: Car Spam
[14/7/2021] [2:53:22] Mexicano_Xd IP:190.89.72.162 foi banido pelo admin Automático, motivo: Car Spam
[14/7/2021] [2:53:22] Mexicano_Xd IP:190.89.72.162 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [3:49:36] BocaD09_TDT IP:187.24.103.227 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [3:49:36] BocaD09_TDT IP:187.24.103.227 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [3:49:36] BocaD09_TDT IP:187.24.103.227 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [3:49:36] BocaD09_TDT IP:187.24.103.227 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [3:49:36] BocaD09_TDT IP:187.24.103.227 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [3:49:36] DECLIPS IP:45.6.102.166 foi banido pelo admin Russo, motivo: hacker
[16/7/2021] [3:49:36] ReiDelas IP:185.186.244.242 foi banido pelo admin Russo, motivo: hacker
[16/7/2021] [3:49:36] Mario IP:131.0.63.101 foi banido pelo admin Russo, motivo: hacker
