[03/07/2021 - 20:59:56] - [VENDAS]: Parlota_Lcs aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador KAKA_TDT
[03/07/2021 - 21:00:27] - [VENDAS]: Parlota_Lcs aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador KAKA_TDT
[03/07/2021 - 21:00:46] - [VENDAS]: Parlota_Lcs aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador KAKA_TDT
[03/07/2021 - 21:01:04] - [VENDAS]: Parlota_Lcs aceitou uma negociação, item: Garrafa d'água, com 1 unidades por R$0 do jogador KAKA_TDT
[03/07/2021 - 21:01:19] - [VENDAS]: batista_TDT aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador KAKA_TDT
[03/07/2021 - 21:01:38] - [VENDAS]: batista_TDT aceitou uma negociação, item: Garrafa d'água, com 1 unidades por R$0 do jogador KAKA_TDT
[04/07/2021 - 00:29:31] - [VENDAS]: jc04 aceitou uma negociação, item: M4, com 457 unidades por R$0 do jogador SMOKE_ZX
[04/07/2021 - 00:50:39] - [VENDAS]: Atrit_Abaddon aceitou uma negociação, item: MedKit, com 1 unidades por R$0 do jogador KAKA_TDT
[04/07/2021 - 00:52:34] - [VENDAS]: ruanno_beiramar aceitou uma negociação, item: MedKit, com 1 unidades por R$0 do jogador SMOKE_ZX
[04/07/2021 - 05:48:51] - [VENDAS]: renan_viana aceitou uma negociação, item: Pizza, com 10 unidades por R$0 do jogador Ares
[04/07/2021 - 15:33:09] - [VENDAS]: Haridade aceitou uma negociação, item: AK-47, com 400 unidades por R$1 do jogador Atrit_Abaddon
[04/07/2021 - 15:33:51] - [VENDAS]: Haridade aceitou uma negociação, item: M4, com 300 unidades por R$1 do jogador Atrit_Abaddon
[04/07/2021 - 15:34:20] - [VENDAS]: Atrit_Abaddon aceitou uma negociação, item: M4, com 300 unidades por R$1 do jogador Haridade
[04/07/2021 - 15:36:29] - [VENDAS]: Parlota_Lcs aceitou uma negociação, item: Sniper, com 50 unidades por R$1 do jogador Atrit_Abaddon
[04/07/2021 - 15:36:49] - [VENDAS]: Parlota_Lcs aceitou uma negociação, item: M4, com 181 unidades por R$1 do jogador Atrit_Abaddon
[04/07/2021 - 16:19:03] - [VENDAS]: OROCHI_RP aceitou uma negociação, item: Skin 115, com 1 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 16:20:57] - [VENDAS]: OROCHI_RP aceitou uma negociação, item: Desconhecido, com 1 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 16:23:26] - [VENDAS]: Kauan_Santos aceitou uma negociação, item: MedKit, com 1 unidades por R$0 do jogador VULGO_BK
[04/07/2021 - 16:31:32] - [VENDAS]: KPZIN_EXE aceitou uma negociação, item: MedKit, com 1 unidades por R$0 do jogador SMOKE_ZX
[04/07/2021 - 17:00:35] - [VENDAS]: LITTLE_cyp aceitou uma negociação, item: Deset Eagle, com 100 unidades por R$0 do jogador RAFORI_yt
[04/07/2021 - 17:13:39] - [VENDAS]: Haridade aceitou uma negociação, item: Sniper, com 25 unidades por R$0 do jogador Parlota_Lcs
[04/07/2021 - 17:21:21] - [VENDAS]: Alexx_Tururu aceitou uma negociação, item: MedKit, com 1 unidades por R$0 do jogador VULGO_BK
[04/07/2021 - 17:56:47] - [VENDAS]: Jvzin_Zoldick aceitou uma negociação, item: Garrafa d'água, com 2 unidades por R$0 do jogador VULGO_BK
[04/07/2021 - 18:13:52] - [VENDAS]: lukill_ aceitou uma negociação, item: MP5, com 100 unidades por R$0 do jogador wesley_uchiha
[04/07/2021 - 18:13:57] - [VENDAS]: lukill_ aceitou uma negociação, item: Deset Eagle, com 250 unidades por R$0 do jogador Haridade
[04/07/2021 - 18:56:34] - [VENDAS]: Haridade aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador batista_TDT
[04/07/2021 - 21:34:59] - [VENDAS]: Red_beiramar aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador batista_TDT
[04/07/2021 - 21:35:18] - [VENDAS]: Red_beiramar aceitou uma negociação, item: Garrafa d'água, com 1 unidades por R$0 do jogador batista_TDT
[04/07/2021 - 22:15:12] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:15:30] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:15:51] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:16:04] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:16:19] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:16:32] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:16:55] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:17:18] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:17:30] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:17:43] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:17:58] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:18:10] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:18:24] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:18:40] - [VENDAS]: Vgzinn aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:23:05] - [VENDAS]: jaozinho aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador VULGO_BK
[04/07/2021 - 22:23:24] - [VENDAS]: jaozinho aceitou uma negociação, item: Pizza, com 2 unidades por R$0 do jogador VULGO_BK
[04/07/2021 - 22:24:01] - [VENDAS]: jaozinho aceitou uma negociação, item: Skin 293, com 1 unidades por R$0 do jogador VULGO_BK
[04/07/2021 - 22:27:32] - [VENDAS]: carioca_zk aceitou uma negociação, item: Dinamite, com 1 unidades por R$0 do jogador OROCHI_RP
[04/07/2021 - 22:27:43] - [VENDAS]: carioca_zk aceitou uma negociação, item: Maconha, com 500 unidades por R$0 do jogador Gefin_DAboca
[04/07/2021 - 22:29:02] - [VENDAS]: carioca_zk aceitou uma negociação, item: Skin 115, com 1 unidades por R$0 do jogador Gefin_DAboca
[05/07/2021 - 00:06:41] - [VENDAS]: Pedro_Kaua aceitou uma negociação, item: Skin 115, com 1 unidades por R$0 do jogador Gefin_DAboca
[05/07/2021 - 00:10:24] - [VENDAS]: Gefin_DAboca aceitou uma negociação, item: Caixa Supresa Bronze, com 1 unidades por R$0 do jogador Luffy_los
[05/07/2021 - 04:08:11] - [VENDAS]: Zuerim_Bahiano aceitou uma negociação, item: Skin 285, com 1 unidades por R$0 do jogador cleberson_pinto
[05/07/2021 - 05:51:28] - [VENDAS]: mau_mau aceitou uma negociação, item: RPG Teleguiado, com 5 unidades por R$0 do jogador Bonezinho_TDT
[05/07/2021 - 05:51:59] - [VENDAS]: Rei_Do_Rolas aceitou uma negociação, item: Garrafa d'água, com 1 unidades por R$0 do jogador lukill_
[05/07/2021 - 05:55:51] - [VENDAS]: mau_mau aceitou uma negociação, item: Respeito, com 2 unidades por R$0 do jogador Bonezinho_TDT
[05/07/2021 - 05:56:19] - [VENDAS]: mau_mau aceitou uma negociação, item: Deset Eagle, com 980 unidades por R$0 do jogador Bonezinho_TDT
[05/07/2021 - 07:15:09] - [VENDAS]: F7_NXS aceitou uma negociação, item: Skin 289, com 1 unidades por R$0 do jogador kauan_da_GROTA
[05/07/2021 - 08:04:22] - [VENDAS]: Bonezinho_TDT aceitou uma negociação, item: Maconha, com 316 unidades por R$0 do jogador mau_mau
[05/07/2021 - 08:04:42] - [VENDAS]: Bonezinho_TDT aceitou uma negociação, item: Maconha, com 322 unidades por R$0 do jogador mau_mau
[05/07/2021 - 12:25:07] - [VENDAS]: alfa_go aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador Gefin_DAboca
[05/07/2021 - 12:26:06] - [VENDAS]: alfa_go aceitou uma negociação, item: MP5, com 200 unidades por R$0 do jogador Gefin_DAboca
[05/07/2021 - 15:18:45] - [VENDAS]: Gefin_DAboca aceitou uma negociação, item: Caixa Supresa Bronze, com 1 unidades por R$0 do jogador Luffy_los
[05/07/2021 - 15:35:04] - [VENDAS]: OROCHI_RP aceitou uma negociação, item: Skin 115, com 1 unidades por R$0 do jogador Gefin_DAboca
[05/07/2021 - 16:25:50] - [VENDAS]: BOBI.ImT aceitou uma negociação, item: Deset Eagle, com 150 unidades por R$0 do jogador Texuguin_
[05/07/2021 - 16:45:34] - [VENDAS]: Vnx aceitou uma negociação, item: Deset Eagle, com 20 unidades por R$0 do jogador VULGO_BK
[05/07/2021 - 18:11:49] - [VENDAS]: carioca_zk aceitou uma negociação, item: Garrafa d'água, com 1 unidades por R$0 do jogador OROCHI_RP
[05/07/2021 - 21:07:42] - [VENDAS]: BOBI.ImT aceitou uma negociação, item: Respeito, com 1 unidades por R$0 do jogador Texuguin_
[05/07/2021 - 22:43:03] - [VENDAS]: Leonardo_Beiramar aceitou uma negociação, item: Dinheiro, com 13045 unidades por R$0 do jogador Gabrielzin_Maniok
[05/07/2021 - 23:04:30] - [VENDAS]: kayk aceitou uma negociação, item: Skin 115, com 1 unidades por R$0 do jogador Gefin_DAboca
[05/07/2021 - 23:04:50] - [VENDAS]: Moreno_DAboca aceitou uma negociação, item: Skin 115, com 1 unidades por R$0 do jogador Gefin_DAboca
[06/07/2021 - 02:06:11] - [VENDAS]: Gabrielzin_Maniok aceitou uma negociação, item: M4, com 300 unidades por R$0 do jogador Leticia_maniok
[06/07/2021 - 03:03:54] - [VENDAS]: Luffy_los aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador Moreno_DAboca
[06/07/2021 - 03:04:10] - [VENDAS]: Luffy_los aceitou uma negociação, item: Maconha, com 47 unidades por R$0 do jogador Moreno_DAboca
[06/07/2021 - 03:04:20] - [VENDAS]: Luffy_los aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador Moreno_DAboca
[06/07/2021 - 03:04:32] - [VENDAS]: Luffy_los aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador Moreno_DAboca
[06/07/2021 - 03:04:41] - [VENDAS]: Luffy_los aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador Moreno_DAboca
[06/07/2021 - 03:04:51] - [VENDAS]: Luffy_los aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador Moreno_DAboca
[06/07/2021 - 03:37:27] - [VENDAS]: Luska_silva aceitou uma negociação, item: Dinamite, com 1 unidades por R$0 do jogador kurt_444
[06/07/2021 - 03:56:34] - [VENDAS]: kurt_444 aceitou uma negociação, item: Dinamite, com 1 unidades por R$0 do jogador Luska_silva
[06/07/2021 - 17:29:01] - [VENDAS]: WL_[CHEFE_TDJ] aceitou uma negociação, item: Maconha, com 50 unidades por R$0 do jogador OROCHI_RP
[06/07/2021 - 18:57:43] - [VENDAS]: Leticia_maniok aceitou uma negociação, item: Dinheiro, com 12184 unidades por R$0 do jogador Gabrielzin_Maniok
